participantid_in_session,participantcode,participanttime_started,participantpayoff,id,playersubsession_id,playergroup_id,playerpayoff,groupid_in_subsession,groupe_g,groupshockround,control,groupcheckr,grouphistoryc1,grouphistoryc2,grouphistoryr1,grouphistoryr2,grouppayoff1,grouppayoff1f,groupcheckpayoff1f,grouppayoff2,grouprpayoff1,grouppayoff_p1,grouppayoff_p2,groupsubsession_id,Period,sessioncode,sessionlabel,sessionexperimenter_name,sessionmturk_HITId,sessionmturk_HITGroupId,sessioncomment,sessionis_demo,playerbomb,playerbomb_row,playerbomb_col,playerboxes_collected,playerpay_this_round,playerround_result,playeraccept_info,playergender,playerage,playernationality,playerstudies,playerworkexperience,playerdegree,playerenglish,playerund1,playerund2,playerund3,playerund4,playerclear1,playerclear2,playerclear3,playerenjoy1,playerenjoy2,playerenjoy3,playercons1,playercons2,playercons3,playercons4,playerchange1,playerchange2,playerchange3,playerchange4,playerchange5,playerchange6,playerchange7,playerchange8,playerchange9,playerchange10,playerchange11,playerchange12,playerchange13,playerchange14,playerchange15,playerchange16,playerchange17,playerindi1,playerindi2,playerindi3,playerindi4,playerindi5,playerindi6,playerindi7,playerindi8,playerindi9,playerindi10,playerindi11,playerindi12,playerindi13,playerindi14,playerindi15,playerbig1,playerbig2,playerbig3,playerbig4,playerbig5,playerbig6,playerbig7,playerbig8,playerbig9,playerbig10,playeric1,playeric2,playeric3,playeric4,playeric5,playeric6,playeric7,playeric8,playeric9,playeric10,playerpnfs1,playerpnfs2,playerpnfs3,playerpnfs4,playerpnfs5,playerpnfs6,playerpnfs7,playerpnfs8,playerpnfs9,playerpnfs10,playerpnfs11,playertrust1,playertrust2,playertrust3,playertrust4,playertrust5,playertrust6,playertrust7,playertrust8,playertrust9,playertrust10,playertrust11,playergrf1,playergrf2,playergrf3,playergrf4,playergrf5,playergrf6,playergrf7,playergrf8,playergrf9,playergrf10,playergrf11,playergrf12,playergrf13,playergrf14,playergrf15,playergrf16,playergrf17,playergrf18,Principal,Agent,choice_history,result_history,history,four_shock,five_shock,six_shock,seven_shock,eight_shock,nine_shock,ten_shock,late_shock,late_shock2,Post_four,Post_five,Post_six,Post_seven,Post_eight,Post_nine,Post_ten,Post,eh,el,LH,mean_control,HL,idn,Session,trustworthy,response,self_interest,self_i_response,mean_history_pre,mean_history_pre_r,mean_history_pre_t,focus_rounds,mean_history_focus,mean_history_post,mean_history_post_r,mean_history_post_t,mean_history,mean_history_r,mean_history_t,av_self_interest_pre,av_self_interest,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12,Post_LH,LH_late_shock,Post_late_shock,Post_LH_late_shock,Post_el,Post_eh,RegulFocus,PrevFocus,PromoFocus,PNFS,PNFS2,NFS,RTS,playertrust,Extraversion,Agreeableness,Conscientiousness,EmoStability,OpennessExp,NoUnd,consider,UpwardShock,DownwardShock,control_pre,control_post,trust_pre,trust_post,trust_change,response_pre2,response_post2,response_self_pre,response_self_post,trust_pre2,trust_post2,control_pre2,control_post2,control_change,control_change2,abs_control_change,abs_control_change2,one_control_change,high_history_pre,totalpayoff,totaleur,dum_control,diff_payoff,tot_payoff,payoff_p1,payoff_p2,av_tot_payoff,av_control,av_trust,av_diff_payoff,payoff_p1_pre,payoff_p1_post,abs_payoff_p1_diff,payoff_p1_diff,payoff_p2_pre,payoff_p2_post,abs_payoff_p2_diff,payoff_p2_diff,payoff_t_pre,payoff_t_post,abs_payoff_t_diff,payoff_t_diff,GroupT,GroupT2,_est_early,_est_late,selection,mean_history_comp,controlsplit,av2_control,me2_control,shocktiming,controlpr,shocktimemore
17,044267oh,2018-05-01 07:08:58.105640+00:00,136.91,1,1,142,6,10,High,6,1,1,0,0,0,0,,,,,6,6,5,1,1,uw8bc5zi,Session 4,High,,,,0,0,9,1,13,1,9.1,1,1,22,1,1,7,1,90,1,4,2,2,6,1,7,5,6,.66666669,.83333331,4,5,7,4,4,4,5,4,5,5,6,5,5,5,5,5,5,4,6,4,4,4,4,6,6,3,7,4,3,5,7,5,1,1,5,6,2,6,4,4,1,6,6,5,7,4,1,4,4,4,5,1,2,4,4,7,3,6,4,4,7,7,6,7,4,5,4,4,4,2,4,3,4,5,4,5,5,6,5,7,6,7,7,2,4,7,6,6,6,6,7,4,5,7,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre-change,1,0,High-to-Low,.60214287,1,3,6,,1,,,.40000001,.2,.30000001,0,0,0,0,0,.16666667,.083333336,.125,.76633334,.82475001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7222223,5.3333335,6.1111112,5.5999999,5.4545455,5.25,5.5999999,4,3.5,4,6,4.5,5.5,0,.72222227,0,0,.70999998,.96428573,,,,.5402,.85714287,.76633334,1,.23366666,0,.60000002,1,.25428575,.39999998,.25428575,.39999998,.25428575,1,136.91,8.2146006,1,1,11,10.650833,6.125,16.775833,.85833335,.17524999,4.5258331,6.4120002,13.678572,7.2665715,7.2665715,7.1999998,5.3571429,1.8428569,-1.8428569,13.612,19.035715,5.4237146,5.4237146,3,1,1,0,0,,High,.60566038,.60000002,Earlier Changes,.63999999,Earlier Changes
20,0km0dxvu,2018-05-03 09:05:55.350363+00:00,96.09999999999999,2,1,146,8.699999999999999,2,High,6,.63,1,0,0,0,0,5,5,1,15,6,5.63,8.699999999999999,1,1,ve2ngyu4,Session 9,High,,,,0,1,2,8,85,1,0,1,2,21,1,4,6,1,75,2,5,1,1,6,2,2,6,6,.83333331,.83333331,6,1,2,2,5,5,3,3,2,3,5,5,5,2,3,5,5,5,3,4,5,1,2,5,3,5,6,2,5,5,6,2,2,1,5,6,1,2,3,5,6,5,5,3,4,3,6,2,3,6,2,5,2,5,5,5,2,6,5,4,5,5,2,5,6,5,3,3,3,2,3,2,3,5,3,3,5,3,4,6,1,3,5,5,6,5,3,1,6,1,7,6,6,6,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre-change,1,0,High-to-Low,.60214287,1,4,7,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4444447,3.2222223,5.6666665,4.5999999,4.5454545,5,4.5999999,3.1818182,6,3,3.5,3,4.5,0,.33333334,0,0,,,0,0,0,,,,,,,,,,,,,,,96.099998,5.7659998,0,3.0699999,14.33,8.0325003,8.0083332,16.040833,.69916666,0,.024167061,,,,,,,,,,,,,3,1,0,0,0,,Low,.60566038,.60000002,Earlier Changes,.63999999,Earlier Changes
21,1cgarmev,2018-05-01 07:08:58.448041+00:00,106.14,1,1,141,7.74,9,High,10,.5,1,0,0,0,0,9.48,9.48,1,10.52,6,7.74,7.76,1,1,uw8bc5zi,Session 4,High,,,,0,0,4,1,15,1,10.5,1,1,19,1,1,6,1,90,1,4,2,2,6,5,3,4,5,.83333331,.16666667,7,6,6,5,4,3,2,2,5,5,7,6,5,4,3,2,3,6,6,3,1,6,4,1,7,6,2,5,2,4,6,2,1,1,6,6,1,6,2,6,4,5,7,7,5,3,6,5,6,6,2,4,5,1,3,6,6,6,6,4,4,7,5,4,4,6,5,2,4,2,3,3,3,3,3,2,1,5,5,4,5,6,6,5,5,2,2,5,3,3,6,7,5,4,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Pre-change,1,0,High-to-Low,.60214287,1,7,6,.44800001,.44800001,.55199999,.55199999,0,0,0,0,0,0,0,0,0,0,0,.94466668,.94466668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5555553,4.3333335,4.7777777,5.4000001,5.2727275,5,5.4000001,2.8181818,5,3,6.5,4.5,5.5,0,.8888889,0,0,.68888891,1,,,,.055333335,1,.94466668,,.055333335,,.80000001,1,.31111109,.19999999,.31111109,.19999999,.31111109,0,106.14,6.3684001,0,.02,15.5,7.9699998,7.1300001,15.1,.76666665,.055333335,.83999968,5.96,14,8.04,8.04,7.8400002,5,2.8400002,-2.8400002,13.8,19,5.1999998,5.1999998,3,1,0,1,0,,Low,.60566038,.60000002,Later Changes,.63999999,Later Changes
14,1e0ddguj,2018-05-01 07:08:57.909514+00:00,105.1,2,1,138,13,6,High,6,.2,1,0,0,0,0,5,5,1,15,6,5.2,13,1,1,uw8bc5zi,Session 4,High,,,,0,0,2,2,40,1,28,1,2,24,2,1,5,1,90,2,5,1,1,7,2,2,7,6,.33333334,.66666669,3,4,6,3,1,2,5,1,3,3,2,5,3,5,3,5,3,3,5,4,7,3,3,3,3,5,7,3,5,6,6,5,3,2,3,5,3,5,6,5,6,3,3,5,5,5,6,4,6,5,2,6,5,2,6,5,3,4,4,6,3,5,1,2,1,5,6,6,6,3,5,5,5,6,6,6,5,3,6,6,2,7,5,5,7,2,2,2,6,1,6,5,5,5,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre-change,1,0,High-to-Low,.60214287,1,8,6,0,0,1,1,.2,.2,.2,0,,0,0,0,.083333336,.083333336,.083333336,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,3.1111112,5.8888888,3.3,3.5454545,4,3.3,5.3636365,5.5,3,4,5.5,5,0,.55555558,0,0,,,0,,,,,,,,,,,,,,,,,105.1,6.3059998,0,7.8000002,18.200001,10.3575,6.4250002,16.782499,.85750002,0,3.9324999,,,,,,,,,,,,,3,1,0,0,0,,Low,.60566038,.60000002,Earlier Changes,.63999999,Earlier Changes
5,1j1a892p,2018-04-30 13:06:22.206354+00:00,153.2,1,13,405,6.51,9,High,6,.5,1,0,0,0,0,7.01,7.01,1,12.99,6,6.51,9,13,1,zg34a9jg,Session 2,High,,,,0,0,8,2,30,1,21,1,1,19,1,1,5,1,85,1,4,2,2,7,1,1,5,5,.66666669,1,6,7,7,1,1,1,3,1,3,1,1,1,1,1,1,2,3,7,7,7,1,6,7,1,7,6,3,7,6,1,1,2,1,1,1,5,2,3,7,7,3,5,5,6,5,3,6,3,6,6,2,7,2,5,3,2,3,5,5,5,2,2,2,2,2,3,7,6,6,3,5,6,2,6,3,3,3,4,1,5,2,4,6,1,6,1,1,2,7,1,5,5,7,6,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre-change,1,0,High-to-Low,.60214287,1,10,9,.20100001,.20100001,.79900002,.79900002,.2,.2,.2,0,.16666667,.2857143,.14285715,.21428572,.25,.16666667,.20833333,.7852,.7852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9444444,2,5.8888888,2.8,3,4.25,2.8,4.5454545,4,3.5,4,6.5,6,0,.94444442,0,0,.34,1,,,,.2148,1,.7852,,.2148,,.5,1,.65999997,.5,.65999997,.5,.65999997,1,153.2,9.1919994,0,2.49,15.51,11.016666,7.1258335,18.1425,.72500002,.2148,3.8908329,6.8400002,14,7.1599998,7.1599998,10.102,5,5.1020002,-5.1020002,16.941999,19,2.0580006,2.0580006,3,1,1,0,0,,Low,.60566038,.60000002,Earlier Changes,.63999999,Earlier Changes
18,1k5yb686,2018-05-02 13:05:27.452937+00:00,86.95999999999999,2,1,149,5.95,5,High,8,.9,1,0,0,0,0,5.45,5.45,1,14.55,6,5.94,5.95,1,1,ywf1hpha,Session 6,High,,,,0,1,8,5,35,1,0,1,2,19,1,1,7,1,90,2,4,1,2,7,1,1,6,6,.83333331,0,7,6,7,2,5,5,2,3,2,2,3,2,2,2,2,1,4,5,6,6,3,3,2,2,4,3,5,4,5,1,2,2,5,3,2,6,3,6,6,4,5,7,7,6,4,1,4,4,5,3,2,6,2,1,3,3,2,6,3,5,4,5,2,5,5,6,5,4,5,5,5,6,5,5,2,4,3,3,3,3,2,3,4,5,4,2,2,5,6,4,5,5,6,5,5,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,Pre-change,1,0,High-to-Low,.60214287,1,11,8,.045000002,.045000002,.95499998,.95499998,.16666667,0,.083333336,0,,0,.16666667,.083333336,.083333336,.083333336,.083333336,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.4444444,4.5555553,4.0999999,4.181818,4.75,4.0999999,4.4545455,5.5,5,6.5,6,4,0,.94444442,0,0,,,.12566666,0,-.12566666,,,,,,,,,,,,,,,86.959999,5.2175999,0,.0099999998,11.89,8.8191671,7.2466664,16.065834,.73333335,.082428567,1.5725007,,,,,,,,,,,,,3,1,0,0,0,,Low,.60566038,.60000002,Later Changes,.63999999,Later Changes
14,1ov7gwzw,2018-05-02 13:05:27.185485+00:00,120.04,2,1,154,8.300000000000001,10,High,8,.67,1,0,0,0,0,5,5,1,15,6,5.67,8.300000000000001,1,1,ywf1hpha,Session 6,High,,,,0,0,7,1,60,1,42,1,1,19,1,2,7,1,85,2,5,1,1,6,2,3,6,5,.33333334,.83333331,7,7,7,2,4,4,3,2,2,4,5,4,5,4,5,5,6,4,5,4,5,5,2,2,5,2,5,2,3,2,5,2,5,2,4,6,2,6,5,2,6,5,5,5,2,3,5,1,7,5,2,6,3,6,4,6,6,6,7,5,5,6,5,5,4,5,3,3,3,5,4,5,2,3,3,3,6,5,4,5,2,7,7,1,5,3,7,2,3,1,6,6,7,7,7,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,Pre-change,1,0,High-to-Low,.60214287,1,12,8,0,0,1,1,.2,0,.1,0,,.14285715,0,.071428575,.16666667,0,.083333336,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7222223,3.4444444,6,5.5,5.4545455,5.75,5.5,3.6363637,6,3.5,5.5,5,2,0,1,0,0,,,.050500002,,,,,,,,,,,,,,,,,120.04,7.2024002,0,2.6300001,13.97,10.230833,6.5033336,16.734167,.82583332,.073857144,3.7274995,,,,,,,,,,,,,3,1,0,0,0,,Low,.60566038,.60000002,Later Changes,.63999999,Later Changes
18,1pdqdof0,2018-05-03 09:05:55.387128+00:00,76.94,2,1,147,5,3,High,8,1,1,0,0,0,0,,,,,6,6,5,1,1,ve2ngyu4,Session 9,High,,,,0,1,7,10,60,1,0,1,1,23,1,4,7,1,98,2,5,1,2,6,1,1,7,6,.83333331,.33333334,5,1,6,2,2,5,6,2,6,4,5,1,5,5,6,5,5,5,5,2,7,2,2,2,6,6,2,6,2,5,5,2,2,5,1,2,3,3,3,6,2,3,2,3,3,2,5,3,5,6,6,6,5,2,3,2,2,2,2,6,6,6,5,3,3,5,6,5,6,6,6,6,6,5,3,2,3,4,6,6,3,5,3,6,6,5,6,6,3,7,2,6,6,5,3,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,Pre-change,1,0,High-to-Low,.60214287,1,13,7,,1,,,.14285715,.5714286,.35714287,0,,0,.2,.1,.083333336,.41666666,.25,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8888888,5.4444447,4.3333335,3.5999999,3.8181818,3.25,3.5999999,4.909091,2,3,2.5,3,4.5,0,.5,0,0,,,.164,.0255,-.13850001,,,,,,,,,,,,,,,76.940002,4.6164002,1,1,11,9.0600004,6.4116669,15.471666,.83583331,.098333336,2.6483335,,,,,,,,,,,,,3,1,0,0,0,,High,.60566038,.60000002,Later Changes,.63999999,Later Changes
18,1vpnmjjl,2018-04-30 13:06:22.281723+00:00,107.2,2,13,407,5,11,High,10,1,1,0,0,0,0,,,,,6,6,5,13,1,zg34a9jg,Session 2,High,,,,0,0,10,4,15,1,10.5,1,1,20,1,1,7,1,80,2,5,1,2,6,2,2,6,6,.83333331,.5,5,5,7,5,1,3,4,1,2,3,5,3,4,5,2,1,4,5,6,6,2,6,5,1,6,6,1,3,6,2,1,1,1,1,2,5,2,6,7,5,6,6,7,6,5,2,7,2,6,6,1,6,3,2,5,5,3,7,2,4,6,6,7,6,6,3,3,3,3,2,4,5,3,3,2,4,3,6,2,5,1,5,5,1,2,2,2,2,7,1,6,4,6,5,6,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Pre-change,1,0,High-to-Low,.60214287,1,14,9,,1,,,.42857143,.2857143,.35714287,0,,.2,.40000001,.30000001,.33333334,.33333334,.33333334,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7777777,2.3333333,5.2222223,5.0999999,5,4.75,5.0999999,3.1818182,5.5,4,6.5,6.5,5,0,.77777773,0,0,,,.178,0,-.178,,,,,,,,,,,,,,,107.2,6.4319997,1,1,11,8.7283335,8.0583334,16.786667,.63999999,.088222221,.67000008,,,,,,,,,,,,,3,1,0,0,0,,High,.60566038,.60000002,Later Changes,.63999999,Later Changes
15,2xocsbu0,2018-05-02 11:06:30.405121+00:00,116.95,1,1,124,5.65,4,High,10,.65,1,0,0,0,0,5,5,1,15,6,5.65,8.5,1,1,64opqfwp,Session 5,High,,,,0,0,10,3,35,1,24.5,1,2,20,1,1,4,1,88,1,4,2,2,6,1,2,5,5,.66666669,.5,6,6,7,3,3,4,3,3,4,6,6,6,5,6,5,5,6,4,4,2,4,3,2,5,4,3,2,4,5,5,6,5,1,2,3,6,2,5,1,5,3,6,5,3,3,2,5,3,6,6,3,6,3,5,4,3,4,6,5,4,5,7,4,5,4,5,5,3,5,2,1,4,5,3,4,4,2,5,5,5,6,6,6,7,7,6,6,6,7,7,5,5,6,7,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Pre-change,1,0,High-to-Low,.60214287,1,16,1,0,0,1,1,.11111111,.11111111,.11111111,0,.16666667,0,.33333334,.16666667,.083333336,.16666667,.125,.97600001,.98000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8888888,5.8888888,5.8888888,4.8000002,4.7272725,5,4.8000002,3.4545455,4.5,4,5,2,4,0,.8888889,0,0,.83888888,.89999998,,,,.45777777,.66666669,.97600001,1,.024,0,.85000002,1,.061111093,.14999998,.061111093,.14999998,.061111093,1,116.95,7.0169997,0,2.8499999,14.15,7.7041669,6.4083333,14.1125,.85416669,.02,1.2958336,5.9055557,13.1,7.1944447,7.1944447,6.5444446,6,.54444456,-.54444456,12.45,19.1,6.6500006,6.6500006,3,1,0,1,0,,Low,.60566038,.60000002,Later Changes,.63999999,Later Changes
